time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/std,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
17,1.0,147456,8557,7.97082778,72,0.4190923273563385,0.02278515089128632,0.9048828125,0.2,0.0003,-2.0843180902302265,710,0.02547740936279297,0.08073748648166656,0.16897971983416937,1.8774284,,
17,1.0,149504,8676,7.991289610000001,73,0.4169422686100006,0.020757095646695235,0.8927734375,0.2,0.0003,-2.0507201597094538,720,-0.00531315803527832,0.04051551967859268,0.1497516783842002,1.5928341,,
,,150000,,,,0.41923755407333374,0.01772893017914612,0.911865234375,0.2,0.0003,-2.037767891585827,730,-0.01728963851928711,0.11229032278060913,0.19641057960689068,2.0741584,1.0,8.0884794
17,1.0,151552,8794,7.989503580000002,74,,,,,,,,,,,,,
17,1.0,153600,8912,7.9954137,75,0.4181578755378723,0.019021513263578527,0.891455078125,0.2,0.0003,-2.041234601289034,740,-0.008202672004699707,0.059760358184576035,0.1693838491977658,2.002382,,
17,1.0,155648,9030,7.993073010000001,76,0.4168926775455475,0.020003832402289846,0.907568359375,0.2,0.0003,-2.0260510787367823,750,0.00018858909606933594,0.1581965833902359,0.32689878106466497,1.680242,,
17,1.0,157696,9147,7.94364843,77,0.41853609681129456,0.01897767997579649,0.901318359375,0.2,0.0003,-2.018432181328535,760,0.003651559352874756,0.2865767478942871,0.18830000785237644,1.9077085,,
17,1.0,159744,9266,7.9616896299999995,78,0.41893330216407776,0.01965893082669936,0.90126953125,0.2,0.0003,-2.011629717797041,770,-0.008982658386230469,0.026417547836899757,0.1611467549286317,1.8995143,,
,,160000,,,,0.41986021399497986,0.018463094654725863,0.911669921875,0.2,0.0003,-2.004285689815879,780,0.025686442852020264,0.14515742659568787,0.2388238504412584,2.9270294,1.0,7.939217999999999
17,1.0,161792,9384,7.988231330000001,79,,,,,,,,,,,,,
17,1.0,163840,9502,7.99110367,80,0.4190806746482849,0.02174171759688761,0.8919921875,0.2,0.0003,-2.0015537928789855,790,0.0063571929931640625,0.1899632066488266,0.135088128093048,1.6997508,,
17,1.0,165888,9620,8.02079971,81,0.4162478446960449,0.018893466057488695,0.8931640625,0.2,0.0003,-1.9750652637332677,800,0.006151318550109863,0.1296873241662979,0.14192370947712335,1.4568334,,
17,1.0,167936,9737,7.984784919999999,82,0.4156997799873352,0.016457334227743557,0.9130859375,0.2,0.0003,-1.952360662072897,810,-0.01414179801940918,0.0751635953783989,0.22368049926590175,2.2378721,,
17,1.0,169984,9855,8.02136463,83,0.4130648076534271,0.018237562285503373,0.880615234375,0.2,0.0003,-1.936833057180047,820,0.010955631732940674,0.07446102052927017,0.13783179574238602,1.3373954,,
,,170000,,,,0.41059741377830505,0.01787988594151102,0.910498046875,0.2,0.0003,-1.9124915890395642,830,0.04932975769042969,0.05593270808458328,0.19463822503748815,2.4011595,1.0,8.100187400000001
17,1.0,172032,9973,7.978222810000001,84,,,,,,,,,,,,,
17,1.0,174080,10090,7.998157329999999,85,0.41235288977622986,0.019332913839025422,0.9091796875,0.2,0.0003,-1.913463333249092,840,-0.004775047302246094,0.15392810106277466,0.17042959442478606,1.6050441,,
17,1.0,176128,10208,8.000744059999999,86,0.41120606660842896,0.01688400096318219,0.899365234375,0.2,0.0003,-1.9194974768906832,850,-0.007695317268371582,0.09238293766975403,0.20260414520889752,1.5338624,,
17,1.0,178176,10326,7.9521096999999985,87,0.41119036078453064,0.018087369680870324,0.922509765625,0.2,0.0003,-1.9218079056590796,860,0.010907590389251709,0.19931292533874512,0.329637674143305,3.4140391,,
,,180000,,,,0.4108310341835022,0.022368813116918317,0.897509765625,0.2,0.0003,-1.9460705023258924,870,-0.010583281517028809,0.1806909441947937,0.1743371215678053,1.7680365,1.0,7.9983976
17,1.0,180224,10443,7.971621200000002,88,,,,,,,,,,,,,
17,1.0,182272,10561,8.010329089999999,89,0.41227513551712036,0.022741061038686894,0.8986328125,0.2,0.0003,-1.9483457647264004,880,0.013851583003997803,0.08686614036560059,0.1627768613427179,1.6837025,,
