time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/std,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
239616,4.5365543200000005,1.0,17,14015,117,0.0003,2.6444573,0.910986328125,0.02556463725923095,1160,0.07088599354028702,0.4337366819381714,0.16658390047668944,0.2,0.5183961391448975,-17.09452600479126,,
240000,,,,,,0.0003,2.9849699,0.914501953125,0.026040984192513862,1170,0.08544906973838806,0.4159688949584961,0.14690918586857152,0.2,0.5182774066925049,-17.10364874601364,4.4482126,1.0
241664,4.53469309,1.0,17,14135,118,,,,,,,,,,,,,
243712,4.55674863,1.0,17,14254,119,0.0003,3.2012777,0.914892578125,0.024354947649408133,1180,0.0379762202501297,0.4461204409599304,0.16328841546492184,0.2,0.5177891254425049,-17.058845365047453,,
245760,4.54797138,1.0,17,14374,120,0.0003,3.2388792,0.92451171875,0.026165179978124797,1190,0.08586464077234268,0.4248417615890503,0.2061569416327984,0.2,0.5162323713302612,-16.989746099710466,,
247808,4.5580473999999995,1.0,17,14493,121,0.0003,2.5572712,0.900146484375,0.02554721846827306,1200,0.09715627133846283,0.4276031255722046,0.13009787327900996,0.2,0.5152614712715149,-16.904935425519945,,
249856,4.57427419,1.0,17,14613,122,0.0003,2.953547,0.9103515625,0.026398126076674088,1210,0.12974753975868225,0.3964223265647888,0.15448297483089846,0.2,0.5139628052711487,-16.866429072618484,,
250000,,,,,,0.0003,3.509177,0.92431640625,0.024861846418934873,1220,0.10533709079027176,0.4145609736442566,0.19209828824969008,0.2,0.5130898356437683,-16.804255026578904,4.6195708,1.0
251904,4.5910490799999994,1.0,17,14733,123,,,,,,,,,,,,,
253952,4.5623026499999995,1.0,17,14852,124,0.0003,3.2494235,0.9140625,0.025008796519250608,1230,0.0887078121304512,0.4479537606239319,0.16271636372548529,0.2,0.5109323263168335,-16.746459740400315,,
