[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=False
[po4ncpa] ideal-image residual ref: max=1.000e+00 sum=1.107e+01
ep 21750 | dynL 0.300 polR -1.747e+01 | train C 1.34e-03 S 0.009 | EVAL C 1.450e-03 S 0.0067 | buf 200000 | 35867s
ep 22000 | dynL 0.297 polR -1.877e+01 | train C 1.38e-03 S 0.008 | EVAL C 1.260e-03 S 0.0075 | buf 200000 | 36296s
ep 22250 | dynL 0.298 polR -2.081e+01 | train C 1.19e-03 S 0.008 | EVAL C 1.100e-03 S 0.0077 | buf 200000 | 36731s
ep 22500 | dynL 0.297 polR -1.998e+01 | train C 1.42e-03 S 0.007 | EVAL C 1.416e-03 S 0.0095 | buf 200000 | 37148s
ep 22750 | dynL 0.297 polR -2.005e+01 | train C 1.35e-03 S 0.011 | EVAL C 1.271e-03 S 0.0111 | buf 200000 | 37561s
ep 23000 | dynL 0.296 polR -2.056e+01 | train C 1.34e-03 S 0.009 | EVAL C 1.359e-03 S 0.0069 | buf 200000 | 37970s
ep 23250 | dynL 0.295 polR -1.837e+01 | train C 1.16e-03 S 0.006 | EVAL C 1.138e-03 S 0.0049 | buf 200000 | 38385s
ep 23500 | dynL 0.294 polR -2.024e+01 | train C 1.52e-03 S 0.009 | EVAL C 1.405e-03 S 0.0093 | buf 200000 | 38825s
ep 23750 | dynL 0.296 polR -1.983e+01 | train C 1.56e-03 S 0.010 | EVAL C 1.511e-03 S 0.0083 | buf 200000 | 39253s
ep 24000 | dynL 0.295 polR -2.010e+01 | train C 1.30e-03 S 0.006 | EVAL C 1.436e-03 S 0.0086 | buf 200000 | 39671s
ep 24250 | dynL 0.295 polR -1.893e+01 | train C 1.40e-03 S 0.008 | EVAL C 1.317e-03 S 0.0070 | buf 200000 | 40075s
ep 24500 | dynL 0.293 polR -2.121e+01 | train C 1.09e-03 S 0.009 | EVAL C 1.131e-03 S 0.0089 | buf 200000 | 40484s
ep 24750 | dynL 0.293 polR -2.060e+01 | train C 1.53e-03 S 0.007 | EVAL C 1.480e-03 S 0.0081 | buf 200000 | 40883s
ep 25000 | dynL 0.290 polR -2.134e+01 | train C 1.57e-03 S 0.007 | EVAL C 1.633e-03 S 0.0076 | buf 200000 | 41290s
ep 25250 | dynL 0.289 polR -1.822e+01 | train C 1.85e-03 S 0.012 | EVAL C 1.588e-03 S 0.0085 | buf 200000 | 41693s
ep 25500 | dynL 0.289 polR -1.851e+01 | train C 1.83e-03 S 0.011 | EVAL C 2.008e-03 S 0.0123 | buf 200000 | 42102s
