[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=True
[po4ncpa] ideal-image residual ref: max=6.395e-10 sum=1.659e-07
ep 25500 | dynL 0.189 polR 7.340e-01 | train C 6.17e-05 S 0.991 | EVAL C 1.987e-05 S 0.9977 | buf 200000 | 60606s
ep 25750 | dynL 0.186 polR 6.944e-01 | train C 4.14e-05 S 0.992 | EVAL C 1.540e-05 S 0.9981 | buf 200000 | 61221s
ep 26000 | dynL 0.185 polR 7.209e-01 | train C 4.53e-05 S 0.993 | EVAL C 2.335e-05 S 0.9971 | buf 200000 | 61845s
ep 26250 | dynL 0.186 polR 6.202e-01 | train C 1.04e-04 S 0.981 | EVAL C 1.489e-05 S 0.9980 | buf 200000 | 62440s
ep 26500 | dynL 0.185 polR 6.473e-01 | train C 1.08e-04 S 0.986 | EVAL C 2.015e-05 S 0.9976 | buf 200000 | 63057s
ep 26750 | dynL 0.186 polR 6.574e-01 | train C 6.02e-05 S 0.993 | EVAL C 1.906e-05 S 0.9974 | buf 200000 | 63645s
ep 27000 | dynL 0.184 polR 6.179e-01 | train C 5.45e-05 S 0.987 | EVAL C 1.557e-05 S 0.9978 | buf 200000 | 64266s
ep 27250 | dynL 0.185 polR 7.043e-01 | train C 7.29e-05 S 0.985 | EVAL C 1.853e-05 S 0.9977 | buf 200000 | 64861s
ep 27500 | dynL 0.183 polR 7.088e-01 | train C 4.19e-05 S 0.995 | EVAL C 1.889e-05 S 0.9976 | buf 200000 | 65459s
ep 27750 | dynL 0.185 polR 6.864e-01 | train C 1.25e-04 S 0.978 | EVAL C 1.399e-05 S 0.9978 | buf 200000 | 66072s
ep 28000 | dynL 0.184 polR 7.736e-01 | train C 3.93e-05 S 0.992 | EVAL C 1.877e-05 S 0.9978 | buf 200000 | 66680s
ep 28250 | dynL 0.184 polR 7.002e-01 | train C 4.90e-05 S 0.992 | EVAL C 1.582e-05 S 0.9980 | buf 200000 | 67278s
ep 28500 | dynL 0.183 polR 6.583e-01 | train C 7.62e-05 S 0.985 | EVAL C 1.626e-05 S 0.9977 | buf 200000 | 67899s
ep 28750 | dynL 0.183 polR 7.394e-01 | train C 7.62e-05 S 0.985 | EVAL C 1.272e-05 S 0.9980 | buf 200000 | 68517s
ep 29000 | dynL 0.182 polR 6.970e-01 | train C 5.14e-05 S 0.994 | EVAL C 1.248e-05 S 0.9982 | buf 200000 | 69143s
ep 29250 | dynL 0.183 polR 6.996e-01 | train C 5.12e-05 S 0.993 | EVAL C 1.705e-05 S 0.9975 | buf 200000 | 69763s
ep 29500 | dynL 0.181 polR 7.821e-01 | train C 2.90e-05 S 0.996 | EVAL C 1.564e-05 S 0.9977 | buf 200000 | 70356s
ep 29750 | dynL 0.181 polR 7.008e-01 | train C 4.10e-05 S 0.993 | EVAL C 1.724e-05 S 0.9975 | buf 200000 | 70987s
ep 30000 | dynL 0.182 polR 7.379e-01 | train C 4.94e-05 S 0.993 | EVAL C 1.776e-05 S 0.9978 | buf 200000 | 71608s
/var/spool/slurmd/job3375167/slurm_script: line 45: 2066664 Killed                  python src/po4ncpa.py --run-name "po4ncpa_reward_${REWARD_SHAPE}_20260922" --reward-shape "$REWARD_SHAPE" --use-coronagraph true --num-modes 55 --aberration-start-mode 4 --q 3 --num-airy 5.5 --dark-hole-iwa 1.5 --dark-hole-owa 4.0 --rms-min 0.026 --rms-max 0.026 --aberration-spectrum power_law --psd-exponent 3.667 --per-mode-scale true --action-headroom 5.0 --total-episodes 30000 --warmup-episodes 4000 --eval-every 250 --eval-episodes 30 --ensemble 5 --ch 64 --dyn-iters 8 --pol-iters 5 --batch 64 --dyn-lr 1e-3 --pol-lr 1e-4 --explore-std 0.1 --seed 0 --save-full-state true
[2026-09-24T14:09:25.798] error: Detected 1 oom_kill event in StepId=3375167.batch. Some of the step tasks have been OOM Killed.
