name, memory.total [MiB]
NVIDIA A100-PCIE-40GB, 40960 MiB
=== PO4NCPA LOG-REWARD FROM SCRATCH (static): episodes=120000 ===
[infogain] correction scale min 2.52e-09 max 4.65e-08 | probe scale (x0.1) min 2.52e-10 max 4.65e-09 | modes=55 action=110
[infogain] device=cuda image=33x33 modes=55 action=110 workers=14 max_steps=8 lambda_info=0.0 reward=log lr_final_frac=0.3 explore_std_final=0.02
ep 24192 | dynL 0.362 polR 5.099e-01 info 1.101e-01 | train C 4.88e-05 S 0.994 | EVAL C 5.415e-06 S 0.9988 | buf 193536 | 12246s
ep 24444 | dynL 0.365 polR 5.484e-01 info 7.228e-02 | train C 3.79e-05 S 0.994 | EVAL C 5.307e-06 S 0.9988 | buf 195552 | 12383s
ep 24696 | dynL 0.363 polR 5.108e-01 info 9.616e-02 | train C 2.83e-05 S 0.994 | EVAL C 4.938e-06 S 0.9987 | buf 197568 | 12522s
ep 24948 | dynL 0.364 polR 5.701e-01 info 6.209e-02 | train C 3.64e-05 S 0.992 | EVAL C 4.568e-06 S 0.9987 | buf 199584 | 12658s
ep 25200 | dynL 0.362 polR 5.354e-01 info 9.676e-02 | train C 3.91e-05 S 0.995 | EVAL C 4.450e-06 S 0.9988 | buf 200000 | 12796s
ep 25452 | dynL 0.362 polR 5.202e-01 info 1.631e-01 | train C 3.44e-05 S 0.996 | EVAL C 4.479e-06 S 0.9988 | buf 200000 | 12933s
ep 25704 | dynL 0.360 polR 6.082e-01 info 6.919e-02 | train C 3.66e-05 S 0.996 | EVAL C 4.153e-06 S 0.9989 | buf 200000 | 13071s
ep 25956 | dynL 0.359 polR 5.951e-01 info 8.983e-02 | train C 4.00e-05 S 0.994 | EVAL C 3.596e-06 S 0.9989 | buf 200000 | 13208s
ep 26208 | dynL 0.357 polR 5.718e-01 info 1.088e-01 | train C 4.33e-05 S 0.991 | EVAL C 3.538e-06 S 0.9989 | buf 200000 | 13345s
ep 26460 | dynL 0.357 polR 5.585e-01 info 1.401e-01 | train C 3.97e-05 S 0.995 | EVAL C 3.866e-06 S 0.9990 | buf 200000 | 13482s
ep 26712 | dynL 0.357 polR 4.933e-01 info 1.565e-01 | train C 5.77e-05 S 0.992 | EVAL C 3.755e-06 S 0.9989 | buf 200000 | 13619s
ep 26964 | dynL 0.358 polR 6.423e-01 info 8.511e-02 | train C 3.14e-05 S 0.994 | EVAL C 3.141e-06 S 0.9989 | buf 200000 | 13755s
ep 27216 | dynL 0.354 polR 6.064e-01 info 1.327e-01 | train C 2.44e-05 S 0.996 | EVAL C 3.205e-06 S 0.9989 | buf 200000 | 13892s
